,my_x,my_y,my_az,enemy_x,enemy_y,u,v,theta,sin_theta,est_enemy_u,est_enemy_v,est_enemy_theta,est_enemy_sin_theta,est_enemy_x,est_enemy_y,diff_enemy_x,diff_enemy_y,diff_enemy_u,diff_enemy_v,diff_enemy_theta,diff_enemy_sin_theta
100,-1.300062,0.000332,0.237278,0.250259,-0.007767,0.014519,1.550274,-0.536593,-0.009365,0.038420,1.529050,-1.439358,-0.025119,0.229134,-0.031756,0.021125,0.023989,0.023901,0.021224,0.902765,0.015754
101,-1.300062,0.000334,0.239193,0.254625,-0.007726,0.014550,1.554640,-0.536230,-0.009359,0.035256,1.584331,-1.274777,-0.022247,0.284402,-0.028307,0.029777,0.020581,0.020706,0.029691,0.738547,0.012888
102,-1.300062,0.000336,0.241240,0.269478,-0.007585,0.014529,1.569493,-0.530392,-0.009257,0.040789,1.623307,-1.439358,-0.025119,0.323403,-0.033617,0.053925,0.026032,0.026260,0.053814,0.908966,0.015862
103,-1.300063,0.000338,0.243080,0.289643,-0.007430,0.014512,1.589659,-0.523050,-0.009129,0.034836,1.565489,-1.274777,-0.022247,0.265560,-0.027856,0.024083,0.020426,0.020324,0.024170,0.751727,0.013118
104,-1.300063,0.000340,0.244843,0.310580,-0.007323,0.014546,1.610596,-0.517439,-0.009031,0.035256,1.584331,-1.274777,-0.022247,0.284404,-0.028145,0.026176,0.020822,0.020710,0.026265,0.757338,0.013216
105,-1.300063,0.000343,0.247005,0.338900,-0.007208,0.014617,1.638915,-0.510975,-0.008918,0.038456,1.623307,-1.357066,-0.023683,0.323395,-0.031114,0.015505,0.023906,0.023839,0.015608,0.846091,0.014765
106,-1.300064,0.000345,0.248864,0.363412,-0.007111,0.014681,1.663428,-0.505672,-0.008826,0.038933,1.643460,-1.357066,-0.023683,0.343550,-0.031449,0.019862,0.024338,0.024252,0.019968,0.851394,0.014857
107,-1.300064,0.000347,0.250761,0.388459,-0.007004,0.014741,1.688475,-0.500197,-0.008730,0.039921,1.685145,-1.357066,-0.023683,0.385240,-0.032198,0.003219,0.025194,0.025180,0.003330,0.856869,0.014953
108,-1.300064,0.000349,0.252298,0.408629,-0.006933,0.014806,1.708644,-0.496476,-0.008665,0.033501,1.728733,-1.110206,-0.019376,0.428800,-0.025540,0.020171,0.018607,0.018695,0.020089,0.613730,0.010711
109,-1.300065,0.000351,0.254138,0.432815,-0.006855,0.014892,1.732831,-0.492395,-0.008594,0.042033,1.774306,-1.357066,-0.023683,0.474410,-0.033811,0.041595,0.026956,0.027141,0.041475,0.864671,0.015089
110,-1.300065,0.000354,0.256473,0.463559,-0.006757,0.015005,1.763575,-0.487491,-0.008508,0.034841,1.797861,-1.110206,-0.019376,0.497934,-0.026439,0.034375,0.019682,0.019836,0.034286,0.622715,0.010868
111,-1.300065,0.000356,0.258124,0.485353,-0.006685,0.015084,1.785368,-0.484075,-0.008449,0.038970,1.751266,-1.274777,-0.022247,0.451359,-0.030724,0.033994,0.024039,0.023886,0.034102,0.790702,0.013798
112,-1.300066,0.000358,0.260098,0.511288,-0.006607,0.015188,1.811304,-0.480410,-0.008385,0.037424,1.797861,-1.192490,-0.020811,0.497947,-0.028904,0.013341,0.022297,0.022236,0.013443,0.712080,0.012426
113,-1.300066,0.000360,0.262281,0.539966,-0.006535,0.015318,1.839981,-0.476980,-0.008325,0.037925,1.821944,-1.192490,-0.020811,0.522033,-0.029225,0.017933,0.022690,0.022607,0.018037,0.715510,0.012486
