,my_x,my_y,enemy_x,enemy_y,circle_x,circle_y,circle_r
1346,0.568224,-0.347797,0.003306,1.300509,23,149,10
1347,0.568198,-0.347800,0.003308,1.300509,23,148,11
1348,0.568158,-0.348078,0.003311,1.300510,23,152,9
1349,0.568081,-0.347828,0.003313,1.300510,45,151,10
1350,0.568056,-0.346155,0.003315,1.300511,77,152,10
1351,0.567944,-0.343628,0.003318,1.300511,110,153,9
1352,0.567810,-0.341898,0.003320,1.300512,132,153,9
1353,0.567560,-0.339628,0.003323,1.300512,151,153,9
1354,0.567326,-0.338010,0.003325,1.300513,174,154,9
1355,0.567016,-0.336259,0.003327,1.300513,202,154,9
1356,0.566808,-0.335241,0.003329,1.300514,222,155,8
1357,0.566293,-0.333089,0.003332,1.300514,251,153,10
1358,0.566023,-0.332110,0.003335,1.300515,277,156,8
1359,0.565858,-0.331629,0.003337,1.300515,284,157,7
1360,0.565671,-0.331073,0.003339,1.300516,306,157,9
1361,0.565343,-0.330168,0.003341,1.300516,311,156,8
1362,0.564927,-0.329084,0.003343,1.300517,332,154,9
1363,0.564348,-0.327754,0.003347,1.300518,362,155,9
1364,0.564081,-0.327195,0.003349,1.300518,386,157,8
1365,0.563749,-0.326569,0.003351,1.300519,427,154,10
1366,0.563618,-0.326340,0.003353,1.300519,453,154,8
1367,0.563673,-0.326388,0.003356,1.300520,479,154,10
1368,0.563932,-0.326706,0.003358,1.300520,530,151,10
1369,0.564272,-0.327082,0.003361,1.300521,570,151,9
1370,0.564659,-0.327461,0.003363,1.300521,609,151,10
1378,0.568865,-0.330357,0.003382,1.300525,612,149,9
1379,0.569304,-0.330207,0.003385,1.300526,575,151,11
1380,0.569305,-0.330208,0.003387,1.300526,547,152,10
1381,0.569307,-0.330206,0.003389,1.300527,548,151,9
1382,0.569309,-0.330204,0.003392,1.300527,550,151,9
1383,0.569311,-0.330201,0.003394,1.300528,549,152,11
1384,0.569317,-0.330198,0.003396,1.300528,548,151,11
1385,0.569327,-0.330192,0.003399,1.300529,549,151,10
1386,0.569347,-0.330181,0.003401,1.300530,549,150,9
1387,0.569362,-0.330174,0.003403,1.300530,550,149,6
1388,0.569363,-0.330174,0.003405,1.300530,548,152,10
1389,0.569360,-0.330174,0.003408,1.300531,546,152,10
1390,0.569354,-0.330175,0.003411,1.300532,547,151,9
1391,0.569351,-0.330176,0.003413,1.300532,546,152,10
1392,0.569348,-0.330175,0.003415,1.300533,548,152,9
1393,0.569345,-0.330173,0.003418,1.300533,548,152,8
1394,0.569345,-0.330173,0.003420,1.300534,548,152,8
1395,0.569344,-0.330174,0.003422,1.300534,548,152,10
1396,0.569630,-0.330584,0.003425,1.300535,546,151,10
1397,0.568453,-0.329000,0.003427,1.300535,548,152,9
